originality,year,title,num_ref,num_ref_3years,arxiv,neurips,iclr,icml,aaai,iccv,cvpr,emnlp,acl,naacl,eccv,icra,icassp,ijcai,aistats,sigkdd,neuralcom,ieee_tran,acm_tran,mit_press,nature,jmlr,decision_ori,decision_final,rating1,rating2,rating3,mean,class_label,filetype2,atr0,atr1,atr2,atr3,atr4,atr5,atr6,atr7,atr8,atr9,atr10,atr11,atr12,atr13,atr14,atr15,atr16,atr17,atr18,atr19,atr20,atr21,atr22,atr23,atr24,atr25,atr26,atr27,atr28,atr29,atr30,atr31,atr32,atr33,atr34,atr35,atr36,atr37,atr38,atr39,citation_count,citedIn2018,citedIn2019,citedIn2020,citedIn2021,citedIn2022,citedIn2023
1,2019,AutoLoss: Learning Discrete Schedule for Alternate Optimization,40,12,16,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Accept (Poster),Accepted,6,7,7,6.67,good,ICLR_2019_60_paper.json,0,1,3,7,3,2,4,4,0,0,1,3,0,0,0,0,2,0,1,31,1,2,25,13,1,72,4,22,3,17,2,1,6,2,0,2,0,1,41,215,26,0,6,6,10,4,2
1,2017,Understanding Trainable Sparse Coding with Matrix Factorization,23,6,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,Accept (Poster),Accepted,6,8,5,6.33,good,ICLR_2017_189_paper.json,3,0,2,4,0,0,0,0,0,0,0,3,1,0,2,0,0,0,6,21,0,0,29,12,1,27,4,8,1,9,0,0,1,2,1,1,3,3,57,159,40,9,6,6,14,5,0
1,2018,Unsupervised Neural Machine Translation,36,19,2,2,4,1,0,0,0,1,11,2,0,0,0,0,0,0,0,0,0,0,0,1,Accept (Poster),Accepted,6,5,7,6,good,ICLR_2018_110_paper.json,0,0,4,4,1,0,2,7,3,3,0,2,2,0,1,0,2,1,4,36,0,0,22,6,3,35,1,12,2,11,4,0,1,5,1,1,1,9,10,124,657,119,181,173,100,86,24
1,2019,Learning a Meta-Solver for Syntax-Guided Program Synthesis,40,23,2,10,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,7,7,7,good,ICLR_2019_373_paper.json,0,0,1,4,2,0,0,3,1,0,0,4,1,0,0,1,1,0,5,23,3,0,16,10,2,39,2,17,2,7,0,0,2,2,0,0,0,3,49,154,29,1,10,8,8,2,1
1,2019,Efficient Augmentation via Data Subsampling,39,8,4,0,8,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,Accept (Poster),Accepted,6,7,6,6.33,good,ICLR_2019_142_paper.json,0,0,4,0,3,6,1,8,0,0,0,2,2,0,0,0,1,0,4,31,5,3,41,8,3,69,4,15,3,8,3,1,0,1,1,3,7,5,36,216,17,1,2,4,6,4,1
1,2020,Learning Self-Correctable Policies and Value Functions from Demonstrations with Negative Sampling,68,24,25,0,12,5,4,0,0,0,0,0,0,2,0,1,2,0,0,1,0,0,0,1,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2020_86_paper.json,0,2,7,5,2,1,2,4,0,0,0,4,1,0,0,0,0,3,3,34,3,3,34,8,1,79,5,21,2,11,1,0,2,0,2,1,2,4,78,257,10,0,0,5,3,2,1
1,2019,An Empirical Study of Example Forgetting during Deep Neural Network Learning,37,20,8,1,2,6,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,Accept (Poster),Accepted,7,8,9,8,good,ICLR_2019_70_paper.json,1,1,7,0,2,2,1,3,0,0,0,5,0,0,2,0,1,0,4,29,3,1,34,8,0,57,5,11,0,7,0,2,0,1,4,0,4,0,35,172,263,0,25,45,77,124,67
1,2020,Asymptotics of Wide Networks from Feynman Diagrams,29,20,12,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Spotlight),Accepted,6,6,8,6.67,good,ICLR_2020_579_paper.json,0,1,4,1,0,2,0,0,1,1,0,0,0,0,4,1,0,0,8,23,17,4,22,11,0,148,2,18,9,12,1,0,0,0,1,0,8,2,234,489,79,0,9,32,20,19,8
1,2017,Learning to Generate Samples from Noise through Infusion Training,28,13,1,3,1,10,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,Accept (Poster),Accepted,8,7,6,7,good,ICLR_2017_24_paper.json,0,0,2,3,2,0,1,6,0,1,2,2,0,0,0,0,4,2,2,27,3,0,13,8,1,45,3,16,1,7,0,1,1,1,1,0,2,7,33,143,35,4,6,3,5,5,0
1,2019,Characterizing Audio Adversarial Examples Using Temporal Dependency,36,23,20,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,7,6,6,6.33,good,ICLR_2019_400_paper.json,3,0,4,0,4,0,2,9,0,1,0,3,2,1,1,0,2,0,3,35,6,2,25,5,2,53,4,21,2,15,0,1,1,8,1,0,1,0,30,177,105,2,19,32,23,34,9
1,2018,Beyond Shared Hierarchies: Deep Multitask Learning through Soft Layer Ordering,46,24,0,4,6,4,0,1,2,0,2,1,2,0,3,0,0,0,1,0,0,0,0,0,Accept (Poster),Accepted,7,6,7,6.67,good,ICLR_2018_252_paper.json,0,0,12,7,2,2,0,0,0,1,0,3,1,0,3,0,1,0,11,43,2,0,34,12,0,18,0,2,1,3,0,0,3,0,0,0,0,1,89,165,78,19,23,13,15,4,6
1,2017,Semi-supervised Knowledge Transfer for Deep Learning from Private Training Data,37,12,6,0,4,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,1,Accept (Oral),Accepted,9,7,9,8.33,good,ICLR_2017_13_paper.json,2,0,5,3,1,2,0,5,4,2,0,6,0,0,5,0,1,1,1,38,3,1,24,10,0,60,4,22,0,21,3,0,4,0,3,0,1,7,55,218,692,86,143,164,132,143,65
0,2020,How to 0wn the NAS in Your Spare Time,35,16,1,2,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Accept (Poster),Accepted,6,6,3,5,good,ICLR_2020_525_paper.json,0,0,12,2,1,3,0,8,0,1,0,4,2,0,0,0,0,0,5,38,0,0,21,14,1,91,4,12,3,6,1,2,0,1,2,0,2,3,37,200,20,0,1,5,8,7,1
0,2020,Deep Network Classification by Scattering and Homotopy Dictionary Learning,30,6,1,1,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,Accept (Poster),Accepted,8,6,8,7.33,good,ICLR_2020_112_paper.json,3,0,7,7,0,1,0,1,1,1,0,5,1,0,1,0,0,0,8,36,6,1,17,17,0,25,0,6,0,6,0,0,1,0,1,0,0,1,57,138,30,0,0,10,12,10,2
1,2020,Geometric Analysis of Nonconvex Optimization Landscapes for Overcomplete Learning,74,12,8,0,8,3,0,2,3,0,0,0,0,0,0,0,0,0,1,9,0,0,0,5,Accept (Talk),Accepted,8,8,8,8,good,ICLR_2020_663_paper.json,0,2,11,4,3,9,2,2,1,1,0,2,1,0,1,0,2,2,5,48,5,1,25,4,1,163,2,21,3,10,5,0,0,2,1,1,3,6,190,443,20,0,2,4,9,5,3
1,2018,Memory Architectures in Recurrent Neural Network Language Models,19,14,4,6,2,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,Accept (Poster),Accepted,6,5,8,6.33,good,ICLR_2018_335_paper.json,0,0,3,0,1,2,3,3,0,1,0,4,3,0,2,0,0,0,2,24,1,0,14,7,0,36,1,10,0,11,2,1,1,0,0,1,4,2,20,111,60,15,14,17,8,6,0
0,2019,Variational Discriminator Bottleneck: Improving Imitation Learning Inverse RL and GANs by Constraining Information Flow,48,29,3,4,5,4,0,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,Accept (Poster),Accepted,6,10,8,8,good,ICLR_2019_272_paper.json,0,0,6,5,1,2,5,15,4,2,0,6,1,1,1,0,1,1,11,62,1,3,20,16,3,33,1,26,6,9,3,1,4,4,1,1,1,2,72,207,149,5,35,52,33,28,13
1,2019,Deep Frank-Wolfe For Neural Network Optimization,56,24,3,12,11,11,0,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,Accept (Poster),Accepted,7,7,8,7.33,good,ICLR_2019_365_paper.json,1,0,6,3,3,3,4,4,2,2,0,7,2,0,4,0,1,0,5,47,3,2,32,10,2,75,2,16,5,18,0,0,2,1,2,1,1,5,48,225,33,1,5,12,11,4,1
1,2017,Geometry of Polysemy,26,8,7,0,0,2,0,0,0,2,5,1,0,0,0,0,0,0,0,1,0,0,0,1,Accept (Poster),Accepted,7,7,7,7,good,ICLR_2017_174_paper.json,1,0,6,4,2,3,4,9,1,4,0,8,1,0,1,1,1,1,4,51,2,4,32,18,2,57,6,16,0,12,3,0,1,0,3,0,4,1,64,225,18,49,57,59,43,25,7
1,2019,A Direct Approach to Robust Deep Learning Using Adversarial Networks,35,22,4,10,5,2,1,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Accept (Poster),Accepted,5,7,6,6,good,ICLR_2019_295_paper.json,0,0,5,0,4,1,2,5,0,0,0,9,3,0,1,0,0,0,0,30,5,2,23,12,2,50,2,22,1,12,2,1,2,1,1,0,4,3,30,175,63,1,12,24,22,7,7
0,2020,Decentralized Deep Learning with Arbitrary Communication Compression,51,18,8,2,9,6,0,0,2,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,Accept (Poster),Accepted,3,6,6,5,good,ICLR_2020_432_paper.json,1,0,4,2,0,8,6,5,1,1,0,6,2,0,2,0,3,2,8,51,3,3,10,7,1,41,4,9,3,8,1,1,3,2,4,1,3,2,52,158,134,0,9,36,49,43,24
1,2020,Network Randomization: A Simple Technique for Generalization in Deep Reinforcement Learning,57,25,10,10,4,4,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,3,Accept (Poster),Accepted,6,3,8,5.67,good,ICLR_2020_387_paper.json,1,0,2,12,3,2,3,6,1,6,0,7,3,2,0,0,6,2,5,61,1,2,11,15,0,31,4,15,4,18,2,0,1,3,2,1,3,1,40,154,99,0,2,20,46,36,13
1,2019,On the Turing Completeness of Modern Neural Network Architectures,21,5,0,2,3,0,0,0,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,7,7,6.67,good,ICLR_2019_240_paper.json,4,0,5,1,3,3,1,0,0,0,1,3,1,0,7,0,0,3,5,37,13,2,29,14,3,196,5,42,2,5,4,0,1,0,3,0,5,0,259,583,58,0,7,15,25,14,15
1,2020,Understanding and Improving Information Transfer in Multi-Task Learning,57,16,15,0,2,1,0,1,7,1,3,0,0,0,0,0,0,2,0,1,1,0,0,3,Accept (Poster),Accepted,6,6,8,6.67,good,ICLR_2020_414_paper.json,1,2,3,0,1,2,5,13,1,5,0,9,1,0,3,0,1,0,1,48,9,7,16,5,2,142,11,38,8,19,3,0,2,1,1,1,6,1,151,423,30,0,0,13,27,37,11
1,2017,Sigma Delta Quantized Networks,14,7,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Accept (Poster),Accepted,8,6,8,7.33,good,ICLR_2017_112_paper.json,0,0,0,1,1,2,0,2,0,0,0,1,2,0,1,0,1,2,1,14,2,0,15,7,3,51,1,10,3,8,4,2,0,1,0,0,2,3,49,161,26,5,4,2,7,5,3
1,2019,MisGAN: Learning from Incomplete Data with Generative Adversarial Networks,23,8,4,2,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,7,6,7,6.67,good,ICLR_2019_294_paper.json,3,0,1,2,0,0,4,8,1,0,0,1,0,0,0,0,0,2,2,24,3,1,36,8,1,55,3,20,2,6,1,0,3,1,4,1,1,1,59,206,109,0,10,40,41,23,9
1,2019,Meta-Learning Probabilistic Inference for Prediction,55,27,14,6,7,5,0,0,2,0,0,0,0,0,0,0,1,0,0,2,0,0,0,2,Accept (Poster),Accepted,7,6,8,7,good,ICLR_2019_234_paper.json,4,0,5,3,2,2,5,7,2,0,1,3,0,0,0,0,1,0,10,45,1,1,16,15,0,71,2,18,0,7,0,1,4,0,2,2,1,0,53,194,63,3,27,51,44,49,11
0,2018,Deep Active Learning for Named Entity Recognition,52,18,8,0,2,4,3,0,1,0,6,3,0,0,0,0,0,2,1,1,0,0,0,3,Accept (Poster),Accepted,6,6,7,6.33,good,ICLR_2018_246_paper.json,0,1,7,0,2,4,6,8,0,2,0,7,0,0,1,0,1,1,3,43,2,0,30,8,1,44,2,8,0,11,0,0,1,1,0,2,2,5,20,137,320,26,67,93,89,54,24
1,2020,Pitfalls of In-Domain Uncertainty Estimation and Ensembling in Deep Learning,56,17,13,0,9,10,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,6,8,6,6.67,good,ICLR_2020_509_paper.json,5,1,3,3,4,1,2,5,1,0,0,4,0,2,1,0,1,2,6,41,8,1,45,22,5,31,2,15,0,5,2,1,2,7,0,1,0,0,56,203,177,0,2,48,67,64,27
0,2019,LEARNING FACTORIZED REPRESENTATIONS FOR OPEN-SET DOMAIN ADAPTATION,31,5,5,0,4,1,1,0,4,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,Accept (Poster),Accepted,7,6,6,6.33,good,ICLR_2019_313_paper.json,0,0,4,2,5,0,4,7,1,8,0,4,0,0,1,0,2,1,3,42,1,1,9,8,2,34,3,7,1,11,1,0,0,0,0,0,2,0,16,96,35,1,7,14,8,7,1
0,2018,SEARNN: Training RNNs with global-local losses,35,12,0,3,4,2,0,0,1,3,3,1,0,0,0,0,0,0,1,0,0,0,0,0,Accept (Poster),Accepted,8,5,7,6.67,good,ICLR_2018_68_paper.json,1,0,7,1,1,3,3,6,5,2,0,8,2,0,3,0,3,0,6,51,4,0,52,19,5,66,3,24,4,15,1,3,2,4,0,1,8,10,68,289,46,14,9,7,9,5,0
1,2020,Self-Adversarial Learning with Comparative Discrimination for Text Generation,28,8,9,0,7,1,3,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Accept (Poster),Accepted,8,3,8,6.33,good,ICLR_2020_121_paper.json,1,0,3,1,2,2,7,5,0,1,0,1,0,0,0,0,6,1,3,33,1,2,25,9,0,31,2,10,1,18,1,2,3,3,3,0,1,1,20,133,12,0,1,4,5,2,3
0,2019,Recall Traces: Backtracking Models for Efficient Reinforcement Learning,49,13,12,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Accept (Poster),Accepted,7,7,6,6.67,good,ICLR_2019_260_paper.json,2,0,1,2,2,0,2,7,0,0,0,6,2,1,0,0,2,0,0,27,4,2,28,16,1,55,2,22,3,11,3,3,1,0,1,0,3,1,34,190,55,9,15,15,7,9,1
0,2019,Amortized Bayesian Meta-Learning,34,18,10,2,3,8,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Accept (Poster),Accepted,6,6,5,5.67,good,ICLR_2019_456_paper.json,1,1,1,5,3,7,2,6,1,2,0,5,0,0,0,0,3,1,0,38,4,1,23,6,2,28,5,7,0,8,1,0,1,0,0,0,1,3,30,120,1,0,18,29,34,25,4
1,2018,Skip RNN: Learning to Skip State Updates in Recurrent Neural Networks,61,28,16,10,5,6,0,1,3,2,2,0,4,0,1,0,0,0,1,1,0,0,0,0,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2018_131_paper.json,4,1,10,6,2,0,2,1,1,0,0,7,3,0,1,0,0,1,8,47,1,1,28,5,0,21,1,4,2,6,0,0,2,0,0,1,0,4,45,121,184,24,48,47,46,26,4
1,2020,Learning to Move with Affordance Maps,43,13,8,2,0,0,0,0,5,0,0,0,1,7,0,0,0,0,0,3,0,1,0,0,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2020_503_paper.json,0,0,1,3,2,0,0,6,0,1,1,4,0,1,0,0,1,0,6,26,0,0,33,13,2,38,2,15,5,15,2,1,1,2,1,1,3,4,32,170,19,0,0,6,9,6,0
0,2017,Metacontrol for Adaptive Imagination-Based Optimization,12,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,8,8,7,7.67,good,ICLR_2017_89_paper.json,1,0,0,2,1,2,3,10,2,0,0,4,0,0,1,0,3,0,1,30,8,3,44,14,0,27,4,16,1,6,4,1,3,3,1,1,2,1,52,191,69,14,22,15,3,5,0
1,2018,On Unifying Deep Generative Models,48,28,20,2,5,1,0,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,Accept (Poster),Accepted,7,6,7,6.67,good,ICLR_2018_271_paper.json,3,0,6,6,5,7,1,6,2,0,0,5,0,0,0,0,0,0,6,47,1,5,31,26,1,60,3,5,4,3,1,1,0,0,2,0,0,0,84,227,110,26,28,21,14,8,0
0,2017,Normalizing the Normalizers: Comparing and Extending Network Normalization Schemes,46,16,1,0,2,1,0,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,Accept (Poster),Accepted,7,5,9,7,good,ICLR_2017_26_paper.json,2,0,7,2,2,0,1,3,0,0,0,7,4,0,1,0,1,0,2,32,1,4,31,2,3,26,3,9,6,14,1,0,1,1,0,1,0,0,33,136,77,13,16,18,8,12,1
1,2019,Excessive Invariance Causes Adversarial Vulnerability,47,28,12,10,8,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,Accept (Poster),Accepted,6,6,7,6.33,good,ICLR_2019_86_paper.json,1,1,13,3,3,6,3,7,0,0,0,3,0,0,0,0,3,0,5,48,3,1,25,7,2,55,1,15,3,7,1,0,1,1,0,0,3,0,34,159,130,1,37,46,24,23,7
1,2019,Supervised Community Detection with Line Graph Neural Networks,38,8,10,0,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,6,9,8,7.67,good,ICLR_2019_154_paper.json,3,1,8,1,0,1,1,3,2,1,0,9,1,0,2,0,2,1,5,41,5,1,26,14,1,67,5,6,6,11,3,2,0,2,3,3,4,3,85,247,211,11,29,62,49,65,20
1,2020,Sample Efficient Policy Gradient Methods with Recursive Variance Reduction,62,23,3,2,17,11,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,Accept (Poster),Accepted,6,8,6,6.67,good,ICLR_2020_369_paper.json,1,2,6,2,2,4,2,1,1,2,0,11,4,1,1,2,0,6,2,50,3,2,19,9,1,75,4,13,2,3,0,1,1,0,1,2,4,4,98,242,58,0,5,22,18,13,4
1,2017,Introspection:Accelerating Neural Network Training By Learning Weight Evolution,9,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,8,7,9,8,good,ICLR_2017_100_paper.json,0,0,3,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,8,18,1,0,28,13,1,21,0,13,0,13,2,0,4,3,9,0,1,4,45,158,15,4,2,3,1,3,0
0,2019,Harmonic Unpaired Image-to-image Translation,46,21,1,3,5,3,0,5,1,0,0,0,2,0,0,0,0,0,0,3,1,0,0,0,Accept (Poster),Accepted,6,5,4,5,good,ICLR_2019_282_paper.json,0,0,6,5,0,3,3,5,0,3,0,5,1,0,1,0,4,1,3,40,2,0,14,11,0,20,3,10,0,12,0,1,1,2,2,2,0,2,30,112,33,0,9,9,10,6,0
1,2020,Towards Fast Adaptation of Neural Architectures with Meta Learning,49,26,8,7,7,6,0,1,8,0,0,0,1,0,0,1,0,0,0,1,0,0,0,2,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2020_249_paper.json,2,1,3,7,2,4,4,3,0,0,0,9,3,0,1,0,1,4,3,47,7,1,24,7,0,35,3,20,3,8,2,4,6,1,1,0,1,0,53,176,56,0,1,17,24,16,6
0,2020,Learning Robust Representations via Multi-View Information Bottleneck,52,20,1,7,4,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Accept (Poster),Accepted,8,6,8,7.33,good,ICLR_2020_406_paper.json,0,0,1,8,4,3,3,6,0,0,0,2,1,0,5,0,2,0,5,40,4,3,31,19,1,32,1,9,3,8,1,0,2,1,2,1,1,1,96,216,94,0,0,9,32,58,23
0,2019,On Self Modulation for Generative Adversarial Networks,42,27,12,4,11,3,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Accept (Poster),Accepted,5,7,7,6.33,good,ICLR_2019_227_paper.json,0,0,3,2,2,5,8,3,0,0,0,6,1,0,2,0,1,0,9,42,2,0,20,0,1,23,2,13,1,10,1,0,2,1,1,0,3,1,33,114,82,6,19,21,21,18,4
1,2019,DHER: Hindsight Experience Replay for Dynamic Goals,20,5,2,0,1,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,Accept (Poster),Accepted,6,6,7,6.33,good,ICLR_2019_117_paper.json,0,0,8,2,1,2,3,2,1,0,0,2,1,0,0,0,0,0,1,23,1,4,28,6,1,32,4,13,5,11,0,1,1,3,2,1,0,3,49,165,45,0,6,10,20,12,5
0,2019,On the Turing Completeness of Modern Neural Network Architectures,21,5,0,2,3,0,0,0,1,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,7,7,6.67,good,ICLR_2019_240_paper.json,4,0,5,1,3,3,1,0,0,0,1,3,1,0,7,0,0,3,5,37,13,2,29,14,3,196,5,42,2,5,4,0,1,0,3,0,5,0,259,583,58,0,7,15,25,14,15
0,2020,Keep Doing What Worked: Behavior Modelling Priors for Offline Reinforcement Learning,30,9,4,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2020_449_paper.json,1,4,6,1,1,3,2,5,0,0,0,1,0,0,2,0,2,1,4,33,1,4,18,10,0,68,4,25,3,13,0,1,0,0,0,1,6,4,48,206,176,0,2,26,69,81,21
1,2020,Interpretable Complex-Valued Neural Networks for Privacy Protection,21,4,4,1,1,2,0,0,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2020_74_paper.json,0,0,1,0,0,0,3,0,0,0,0,6,1,0,1,0,1,0,2,15,1,1,11,16,1,46,0,9,6,6,0,0,1,0,3,1,0,1,50,153,1,0,1,6,8,5,2
1,2018,Gaussian Process Behaviour in Wide Deep Neural Networks,27,9,2,2,6,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2018_333_paper.json,0,0,6,3,3,0,2,7,0,0,0,5,1,0,1,0,1,0,2,31,2,2,12,2,3,54,2,15,3,2,2,1,1,0,0,0,4,2,92,199,383,41,66,93,105,83,33
1,2019,Learning Two-layer Neural Networks with Symmetric Inputs,42,18,16,0,4,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,Accept (Poster),Accepted,7,6,7,6.67,good,ICLR_2019_173_paper.json,0,0,0,1,0,2,4,6,0,0,0,4,0,0,6,0,3,0,2,28,8,3,25,9,3,274,6,17,4,20,1,0,0,0,2,0,13,2,355,742,45,5,9,17,8,6,3
1,2018,Recasting Gradient-Based Meta-Learning as Hierarchical Bayes,58,18,2,6,5,11,0,1,2,0,0,0,0,0,0,0,1,1,5,2,0,0,0,0,Accept (Poster),Accepted,6,7,7,6.67,good,ICLR_2018_206_paper.json,4,0,2,2,8,3,1,4,0,1,0,1,1,0,0,0,0,1,3,31,6,0,15,11,0,42,2,7,2,2,1,0,1,0,0,0,0,1,29,119,399,45,75,107,105,70,21
1,2020,RIDE: Rewarding Impact-Driven Exploration for Procedurally-Generated Environments,62,29,9,10,6,6,0,0,1,0,0,0,0,0,0,3,0,0,0,3,0,0,1,0,Accept (Poster),Accepted,6,8,6,6.67,good,ICLR_2020_423_paper.json,0,0,5,3,2,0,2,5,2,2,0,16,1,1,0,0,2,1,4,46,4,0,34,22,2,30,1,15,2,7,1,1,2,3,3,1,1,6,61,196,93,0,1,13,31,51,13
1,2020,Gradient $\ell_1$ Regularization for Quantization Robustness,27,15,10,1,3,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2020_434_paper.json,0,1,1,1,0,1,3,5,0,0,0,4,1,1,1,0,0,0,1,20,4,1,27,4,2,44,0,3,1,12,1,2,1,2,1,2,6,2,58,173,6,0,0,2,1,3,1
1,2017,Capacity and Trainability in Recurrent Neural Networks,39,15,9,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,1,Accept (Poster),Accepted,8,7,8,7.67,good,ICLR_2017_75_paper.json,0,0,8,0,2,0,4,3,0,0,0,7,0,0,1,0,2,0,4,31,1,0,45,9,0,46,1,11,2,16,2,0,2,1,4,0,2,1,58,201,178,36,36,44,24,21,4
0,2017,Deep Biaffine Attention for Neural Dependency Parsing,20,15,2,2,0,1,0,0,0,0,6,2,0,0,0,0,0,0,0,1,0,0,0,0,Accept (Poster),Accepted,5,5,6,5.33,good,ICLR_2017_51_paper.json,0,0,2,0,0,2,0,4,3,2,0,5,0,0,0,0,0,0,0,18,0,0,11,3,0,10,1,8,1,7,0,3,0,2,0,2,2,3,12,65,906,95,178,228,207,174,53
1,2017,Learning to Generate Samples from Noise through Infusion Training,28,13,1,3,1,10,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,Accept (Poster),Accepted,8,7,6,7,good,ICLR_2017_24_paper.json,0,0,2,3,2,0,1,6,0,1,2,2,0,0,0,0,4,2,2,27,3,0,13,8,1,45,3,16,1,7,0,1,1,1,1,0,2,7,33,143,35,4,6,3,5,5,0
0,2019,Label super-resolution networks,35,14,0,1,3,2,0,3,10,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,Accept (Poster),Accepted,7,6,9,7.33,good,ICLR_2019_467_paper.json,0,0,6,4,0,3,1,8,0,0,0,3,0,0,3,0,0,0,5,33,2,0,26,5,2,47,1,25,3,17,0,1,0,1,4,0,2,2,47,185,8,0,6,5,3,5,0
1,2019,Learning to Simulate Complex Physics with Graph Networks,25,12,5,1,0,1,0,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Accept (Poster),Accepted,6,7,6,6.33,good,ICLR_2019_196_paper.json,1,0,3,1,2,2,1,3,1,0,0,5,0,0,0,0,1,2,0,22,2,0,12,5,0,57,0,14,3,12,2,1,2,0,0,1,3,2,36,152,61,1,0,55,160,237,102
1,2020,Analysis of Video Feature Learning in Two-Stream CNNs on the Example of Zebrafish Swim Bout Classification,58,10,6,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,2,0,0,2,1,Accept (Poster),Accepted,6,6,6,6,good,ICLR_2020_64_paper.json,1,1,7,1,1,2,0,10,0,3,0,4,2,0,3,1,4,2,4,46,0,1,19,4,2,56,1,7,3,9,1,2,3,0,5,0,1,0,30,144,1,0,0,0,1,1,0
1,2017,Learning to Navigate in Complex Environments,30,19,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,Accept (Poster),Accepted,7,5,7,6.33,good,ICLR_2017_136_paper.json,0,0,2,0,1,4,5,3,0,0,1,4,2,0,0,0,1,0,4,27,0,2,25,16,1,36,6,11,0,6,1,2,7,0,2,2,0,3,47,167,710,128,174,149,108,86,21
1,2020,Kaleidoscope: An Efficient Learnable Representation For All Structured Linear Maps,87,26,10,5,9,7,0,0,5,0,1,1,0,0,3,0,0,0,0,3,0,0,1,2,Accept (Spotlight),Accepted,6,8,8,7.33,good,ICLR_2020_622_paper.json,2,3,9,7,7,8,5,14,2,1,0,9,2,0,3,1,3,0,15,91,15,4,34,16,4,189,3,35,8,29,1,2,2,2,0,1,7,1,208,561,26,0,0,3,9,13,4
